RegionID,RegionName,City,State,Region,Metro,CountyName,SizeRank,2019-10
71636,31719,Americus,GA,,Americus,Sumter County,7134,61900
76968,44055,Lorain,OH,,Cleveland-Elyria,Lorain County,4800,62200
78780,47842,Clinton,IN,,Terre Haute,Vermillion County,6669,62300
90247,74035,Hominy,OK,,Tulsa,Osage County,9549,62300
87457,67104,Medicine Lodge,KS,,,Barber County,10165,62400
69005,26386,Lumberport,WV,,Clarksburg,Harrison County,10416,62700
90407,74447,Okmulgee,OK,,Tulsa,Okmulgee County,5125,62900
69908,28383,Rowland,NC,,Lumberton,Robeson County,7704,63000
77037,44137,Maple Heights,OH,,Cleveland-Elyria,Cuyahoga County,3735,63100
86361,64124,Kansas City,MO,,Kansas City,Jackson County,6505,63400
70310,29112,North,SC,,Orangeburg,Orangeburg County,8585,63900
90554,74849,Konawa,OK,,,Seminole County,9774,63900
63833,15014,Brackenridge,PA,,Pittsburgh,Allegheny County,9398,64000
69869,28340,Fairmont,NC,,Lumberton,Robeson County,6746,64100
76771,43612,Toledo,OH,,Toledo,Lucas County,2537,64200
85264,62018,Rosewood Heights,IL,,St. Louis,Madison County,9541,64200
84523,60472,Robbins,IL,,Chicago-Naperville-Elgin,Cook County,8862,64300
78141,46408,Gary,IN,,Chicago-Naperville-Elgin,Lake County,5623,64400
78538,47336,Dunkirk,IN,,,Jay County,9393,64400
87710,67661,Phillipsburg,KS,,,Phillips County,9456,64400
74930,38643,Lambert,MS,,,Quitman County,10699,64400
90219,74003,Bartlesville,OK,,Bartlesville,Washington County,5726,64500
63821,14904,Town of Elmira,NY,,Elmira,Chemung County,5324,64700
87439,67058,Harper,KS,,,Harper County,10586,64900
87083,66075,Pleasanton,KS,,Kansas City,Linn County,10485,65000
69890,28364,Maxton,NC,,Lumberton,Robeson County,6255,65200
69537,27839,Halifax,NC,,Roanoke Rapids,Halifax County,9702,65200
87756,67839,Dighton,KS,,,Lane County,11180,65500
90468,74571,Talihina,OK,,Fort Smith,LeFlore County,9258,65600
78037,46222,Indianapolis,IN,,Indianapolis-Carmel-Anderson,Marion County,2006,65800
63818,14901,Town of Elmira,NY,,Elmira,Chemung County,5755,65800
63717,14760,Town of Olean,NY,,Olean,Cattaraugus County,4476,65900
68531,25260,Mason,WV,,Point Pleasant,Mason County,11002,65900
85953,63135,Ferguson,MO,,St. Louis,Saint Louis County,4551,66200
69729,28119,Morven,NC,,,Anson County,10446,66300
78567,47373,Redkey,IN,,,Jay County,10608,66300
87606,67473,Osborne,KS,,,Osborne County,10930,66300
90461,74561,Quinton,OK,,McAlester,Pittsburg County,10750,66600
87739,67749,Oberlin,KS,,,Decatur County,10215,66700
78570,47380,Ridgeville,IN,,,Randolph County,10791,66700
75041,38860,Okolona,MS,,,Chickasaw County,8053,66800
70307,29107,Neeses,SC,,Orangeburg,Orangeburg County,9713,66800
84821,61103,Rockford,IL,,Rockford,Winnebago County,3587,66900
90474,74601,Ponca City,OK,,Ponca City,Kay County,4544,66900
